notice_dispatch_year,notice_dispatch_month,notice_dispatch_day,doc_number,doc_type,contract_type,proc_type,regulation_type,bid_type,award_criteria_type,framework,eu_project,GPA,country,NUTS,cpv,contract_number,contract_id,title_contract,short_contract_description,additional_info,contract_value,contract_currency,authority_name,authority_address,authority_town,authority_postal_code,authority_country,authority_contact_person,authority_www,authority_type,auth_type,contract_title,lot,nr_bids,contract_award_day,contract_award_month,contract_award_year,company_name,company_address,company_town,company_postal_code,company_country,initial_value,initial_value_vat_percent,total_value,total_value_vat_percent,url
2011,01,18,2011/S 13-019474,7,4,1,4,9,2,,NO,NO,PL,,85100000,,PL030469,"Program leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK, substancje czynne w pt leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK.","Program leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK, substancje czynne w pt leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK.",,3993608.0,PLN,Małopolski Oddział Wojewódzki Narodowego Funduszu Zdrowia w Krakowie,ul. Józefa 21,Kraków,31-056,PL,dr Paweł Łach,,BODY_PUBLIC,6,"Program leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK,substancje czynne w pt leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK.",,3,22,12,2010,Szpital Specjalistyczny im. Józefa Dietla w Krakowie,ul. Skarbowa 4,Kraków,31-121,PL,3993608.00,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019474-2011:TEXT:PL:HTML
2011,01,18,2011/S 13-019474,7,4,1,4,9,2,,NO,NO,PL,,85100000,,PL030470,"Program leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK, substancje czynne w pt leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK.","Program leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK, substancje czynne w pt leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK.",,3993608.0,PLN,Małopolski Oddział Wojewódzki Narodowego Funduszu Zdrowia w Krakowie,ul. Józefa 21,Kraków,31-056,PL,dr Paweł Łach,,BODY_PUBLIC,6,"Program leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK,substancje czynne w pt leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK.",,3,22,12,2010,SPZOZ Szpital Uniwersytecki w Krakowie,ul. Kopernika 36,Kraków,31-501,PL,3993608.00,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019474-2011:TEXT:PL:HTML
2011,01,18,2011/S 13-019474,7,4,1,4,9,2,,NO,NO,PL,,85100000,,PL030471,"Program leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK, substancje czynne w pt leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK.","Program leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK, substancje czynne w pt leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK.",,3993608.0,PLN,Małopolski Oddział Wojewódzki Narodowego Funduszu Zdrowia w Krakowie,ul. Józefa 21,Kraków,31-056,PL,dr Paweł Łach,,BODY_PUBLIC,6,"Program leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK,substancje czynne w pt leczenia inhibitorami TNF chorych z ciężką, aktywną postacią ZZSK.",,3,22,12,2010,Zespół Opieki Zdrowotnej w Suchej Beskidzkiej,ul. Szpitalna 22,Sucha Beskidzka,34-200,PL,1942442.00,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019474-2011:TEXT:PL:HTML
2011,01,18,2011/S 13-019629,7,4,1,4,9,2,,NO,,SE,SE232,79200000,1,SE030472,Revisorstjänster Partille kommun.,Partille kommun inbjuder genom kommunens revisorer anbudsgivare att lämna anbud på sakkunnigt biträde till kommunens revisorer och vid behov sakkunnigt biträde till lekmannarevisorerna i kommunens aktiebolag.,OPIC-annons: http://www.opic.com/notice.asp?req=ublrzbcl.,,,Partille kommun,Gamla Kronvägen 34,Partille,433 82,SE,Christine Källner,,MINISTRY,1,KPMG AB.,,4,07,12,2010,Kpmg AB,Norra Hamngatan 22,Göteborg,404 39,SE,,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019629-2011:TEXT:SV:HTML
2011,01,17,2011/S 13-019373,7,4,1,4,9,2,,NO,NO,SK,SK010,90500000;90511100;90512000,1,SK030473,"Zber, odvoz a zneškodnovanie komunálnych odpadov.","Zber, odvoz a zneškodnovanie komunálnych odpadov pre 11 obcí v predpokladanom rozsahu od 15 000 t do 20 000 t.","Vítazným uchádzačom je skupina dodávatelov AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava a AVE CZ odpadové hospodárství s.r.o., Pražská 1321/38a, 102 00 Praha, Česká republika. Keďže do formulára možno napísať len jedného, bol všade uvedený vedúci člen skupiny, ktorým je AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava. Uvedená celková cena ako i ceny uvedené pri jednotlivých ymluvách sú ceny za rok vypočítané z jednotkových cien predložených vo víťaznej ponuke a z množstva vyprodukovaného odpadu za predchádzajúci rok. Keďže verejný obstarávateľ nevie ovplyvniť množstvo vyprodukovaného komunálneho odpadu na svojom území a môže ho len predpokladať a toto množstvo je dané súčtom množstiev všetkých producentov ako sú občania, podniky, podnikatelia, turisti atď. ktorých počty sa menia, v rámci jednotlivých nasledujúcich rokov sa celkové ceny môžu líšiť. Výsledkom sútaže však boli jednotkové ceny, z ktorých sa celkové ceny vypočítavajú na yáklade aktuálnych množstiev. Členmi komisie boli: Ing. Karol Kvál, Ing. Jarmila Répássyová, Mgr. Viera Žilková.Celý proces verejného obstarávania sa robil prostredníctvom EVO. Oznámenie o výsledku verejného obstarávania bolo odoslané do OJEU 21.12.2010 a do UVO 22.12.2010. Publikované však bolo len vo VVO č. 245/2010 dňa 23.12.2010 pod číslom 08258-VSS. V UVEU publikované nebolo. Po zisťovaní u pracovníkov na UVO dôvodom bola chyba servera. Aby sa napravila vzniknutá chyba, je zasielané toto oznámenie mimo systém EVO, nakoľko v systéme EVO opätovné zaslanie nie je možné.",840506.46,EUR,Mesto Senec,Mierové nám. 8,Senec,903 01,SK,Branislav Jurča,http://www.senec.sk,REGIONAL_AUTHORITY,3,"Zmluva o zbere, odvoze a zneškodnovaní komunálnych odpadov - Obec Bernolákovo.",,1,26,11,2010,"AVE Bratislava, s.r.o.",Hlohova 6,Bratislava,821 07,SK,,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019373-2011:TEXT:SK:HTML
2011,01,17,2011/S 13-019373,7,4,1,4,9,2,,NO,NO,SK,SK010,90500000;90511100;90512000,2,SK030474,"Zber, odvoz a zneškodnovanie komunálnych odpadov.","Zber, odvoz a zneškodnovanie komunálnych odpadov pre 11 obcí v predpokladanom rozsahu od 15 000 t do 20 000 t.","Vítazným uchádzačom je skupina dodávatelov AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava a AVE CZ odpadové hospodárství s.r.o., Pražská 1321/38a, 102 00 Praha, Česká republika. Keďže do formulára možno napísať len jedného, bol všade uvedený vedúci člen skupiny, ktorým je AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava. Uvedená celková cena ako i ceny uvedené pri jednotlivých ymluvách sú ceny za rok vypočítané z jednotkových cien predložených vo víťaznej ponuke a z množstva vyprodukovaného odpadu za predchádzajúci rok. Keďže verejný obstarávateľ nevie ovplyvniť množstvo vyprodukovaného komunálneho odpadu na svojom území a môže ho len predpokladať a toto množstvo je dané súčtom množstiev všetkých producentov ako sú občania, podniky, podnikatelia, turisti atď. ktorých počty sa menia, v rámci jednotlivých nasledujúcich rokov sa celkové ceny môžu líšiť. Výsledkom sútaže však boli jednotkové ceny, z ktorých sa celkové ceny vypočítavajú na yáklade aktuálnych množstiev. Členmi komisie boli: Ing. Karol Kvál, Ing. Jarmila Répássyová, Mgr. Viera Žilková.Celý proces verejného obstarávania sa robil prostredníctvom EVO. Oznámenie o výsledku verejného obstarávania bolo odoslané do OJEU 21.12.2010 a do UVO 22.12.2010. Publikované však bolo len vo VVO č. 245/2010 dňa 23.12.2010 pod číslom 08258-VSS. V UVEU publikované nebolo. Po zisťovaní u pracovníkov na UVO dôvodom bola chyba servera. Aby sa napravila vzniknutá chyba, je zasielané toto oznámenie mimo systém EVO, nakoľko v systéme EVO opätovné zaslanie nie je možné.",840506.46,EUR,Mesto Senec,Mierové nám. 8,Senec,903 01,SK,Branislav Jurča,http://www.senec.sk,REGIONAL_AUTHORITY,3,"Zmluva o zbere, odvoze a zneškodnovaní komunálnych odpadov - Obec Chorvátsky Grob.",,1,24,11,2010,"AVE Bratislava, s.r.o.",Hlohova 6,Bratislava,821 07,SK,,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019373-2011:TEXT:SK:HTML
2011,01,17,2011/S 13-019373,7,4,1,4,9,2,,NO,NO,SK,SK010,90500000;90511100;90512000,3,SK030475,"Zber, odvoz a zneškodnovanie komunálnych odpadov.","Zber, odvoz a zneškodnovanie komunálnych odpadov pre 11 obcí v predpokladanom rozsahu od 15 000 t do 20 000 t.","Vítazným uchádzačom je skupina dodávatelov AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava a AVE CZ odpadové hospodárství s.r.o., Pražská 1321/38a, 102 00 Praha, Česká republika. Keďže do formulára možno napísať len jedného, bol všade uvedený vedúci člen skupiny, ktorým je AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava. Uvedená celková cena ako i ceny uvedené pri jednotlivých ymluvách sú ceny za rok vypočítané z jednotkových cien predložených vo víťaznej ponuke a z množstva vyprodukovaného odpadu za predchádzajúci rok. Keďže verejný obstarávateľ nevie ovplyvniť množstvo vyprodukovaného komunálneho odpadu na svojom území a môže ho len predpokladať a toto množstvo je dané súčtom množstiev všetkých producentov ako sú občania, podniky, podnikatelia, turisti atď. ktorých počty sa menia, v rámci jednotlivých nasledujúcich rokov sa celkové ceny môžu líšiť. Výsledkom sútaže však boli jednotkové ceny, z ktorých sa celkové ceny vypočítavajú na yáklade aktuálnych množstiev. Členmi komisie boli: Ing. Karol Kvál, Ing. Jarmila Répássyová, Mgr. Viera Žilková.Celý proces verejného obstarávania sa robil prostredníctvom EVO. Oznámenie o výsledku verejného obstarávania bolo odoslané do OJEU 21.12.2010 a do UVO 22.12.2010. Publikované však bolo len vo VVO č. 245/2010 dňa 23.12.2010 pod číslom 08258-VSS. V UVEU publikované nebolo. Po zisťovaní u pracovníkov na UVO dôvodom bola chyba servera. Aby sa napravila vzniknutá chyba, je zasielané toto oznámenie mimo systém EVO, nakoľko v systéme EVO opätovné zaslanie nie je možné.",840506.46,EUR,Mesto Senec,Mierové nám. 8,Senec,903 01,SK,Branislav Jurča,http://www.senec.sk,REGIONAL_AUTHORITY,3,"Zmluva o zbere, odvoze a zneškodnovaní komunálnych odpadov - Obec Ivanka pri Dunaji.",,1,04,11,2010,"AVE Bratislava, s.r.o.",Hlohova 6,Bratislava,821 07,SK,,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019373-2011:TEXT:SK:HTML
2011,01,17,2011/S 13-019373,7,4,1,4,9,2,,NO,NO,SK,SK010,90500000;90511100;90512000,4,SK030476,"Zber, odvoz a zneškodnovanie komunálnych odpadov.","Zber, odvoz a zneškodnovanie komunálnych odpadov pre 11 obcí v predpokladanom rozsahu od 15 000 t do 20 000 t.","Vítazným uchádzačom je skupina dodávatelov AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava a AVE CZ odpadové hospodárství s.r.o., Pražská 1321/38a, 102 00 Praha, Česká republika. Keďže do formulára možno napísať len jedného, bol všade uvedený vedúci člen skupiny, ktorým je AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava. Uvedená celková cena ako i ceny uvedené pri jednotlivých ymluvách sú ceny za rok vypočítané z jednotkových cien predložených vo víťaznej ponuke a z množstva vyprodukovaného odpadu za predchádzajúci rok. Keďže verejný obstarávateľ nevie ovplyvniť množstvo vyprodukovaného komunálneho odpadu na svojom území a môže ho len predpokladať a toto množstvo je dané súčtom množstiev všetkých producentov ako sú občania, podniky, podnikatelia, turisti atď. ktorých počty sa menia, v rámci jednotlivých nasledujúcich rokov sa celkové ceny môžu líšiť. Výsledkom sútaže však boli jednotkové ceny, z ktorých sa celkové ceny vypočítavajú na yáklade aktuálnych množstiev. Členmi komisie boli: Ing. Karol Kvál, Ing. Jarmila Répássyová, Mgr. Viera Žilková.Celý proces verejného obstarávania sa robil prostredníctvom EVO. Oznámenie o výsledku verejného obstarávania bolo odoslané do OJEU 21.12.2010 a do UVO 22.12.2010. Publikované však bolo len vo VVO č. 245/2010 dňa 23.12.2010 pod číslom 08258-VSS. V UVEU publikované nebolo. Po zisťovaní u pracovníkov na UVO dôvodom bola chyba servera. Aby sa napravila vzniknutá chyba, je zasielané toto oznámenie mimo systém EVO, nakoľko v systéme EVO opätovné zaslanie nie je možné.",840506.46,EUR,Mesto Senec,Mierové nám. 8,Senec,903 01,SK,Branislav Jurča,http://www.senec.sk,REGIONAL_AUTHORITY,3,"Zmluva o zbere, odvoze a zneškodnovaní komunálnych odpadov - Obec Jelka.",,1,04,11,2010,"AVE Bratislava, s.r.o.",Hlohova 6,Bratislava,821 07,SK,,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019373-2011:TEXT:SK:HTML
2011,01,17,2011/S 13-019373,7,4,1,4,9,2,,NO,NO,SK,SK010,90500000;90511100;90512000,5,SK030477,"Zber, odvoz a zneškodnovanie komunálnych odpadov.","Zber, odvoz a zneškodnovanie komunálnych odpadov pre 11 obcí v predpokladanom rozsahu od 15 000 t do 20 000 t.","Vítazným uchádzačom je skupina dodávatelov AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava a AVE CZ odpadové hospodárství s.r.o., Pražská 1321/38a, 102 00 Praha, Česká republika. Keďže do formulára možno napísať len jedného, bol všade uvedený vedúci člen skupiny, ktorým je AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava. Uvedená celková cena ako i ceny uvedené pri jednotlivých ymluvách sú ceny za rok vypočítané z jednotkových cien predložených vo víťaznej ponuke a z množstva vyprodukovaného odpadu za predchádzajúci rok. Keďže verejný obstarávateľ nevie ovplyvniť množstvo vyprodukovaného komunálneho odpadu na svojom území a môže ho len predpokladať a toto množstvo je dané súčtom množstiev všetkých producentov ako sú občania, podniky, podnikatelia, turisti atď. ktorých počty sa menia, v rámci jednotlivých nasledujúcich rokov sa celkové ceny môžu líšiť. Výsledkom sútaže však boli jednotkové ceny, z ktorých sa celkové ceny vypočítavajú na yáklade aktuálnych množstiev. Členmi komisie boli: Ing. Karol Kvál, Ing. Jarmila Répássyová, Mgr. Viera Žilková.Celý proces verejného obstarávania sa robil prostredníctvom EVO. Oznámenie o výsledku verejného obstarávania bolo odoslané do OJEU 21.12.2010 a do UVO 22.12.2010. Publikované však bolo len vo VVO č. 245/2010 dňa 23.12.2010 pod číslom 08258-VSS. V UVEU publikované nebolo. Po zisťovaní u pracovníkov na UVO dôvodom bola chyba servera. Aby sa napravila vzniknutá chyba, je zasielané toto oznámenie mimo systém EVO, nakoľko v systéme EVO opätovné zaslanie nie je možné.",840506.46,EUR,Mesto Senec,Mierové nám. 8,Senec,903 01,SK,Branislav Jurča,http://www.senec.sk,REGIONAL_AUTHORITY,3,"Zmluva o zbere, odvoze a zneškodnovaní komunálnych odpadov - Obec Malinovo.",,1,02,11,2010,"AVE Bratislava, s.r.o.",Hlohova 6,Bratislava,821 07,SK,,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019373-2011:TEXT:SK:HTML
2011,01,17,2011/S 13-019373,7,4,1,4,9,2,,NO,NO,SK,SK010,90500000;90511100;90512000,6,SK030478,"Zber, odvoz a zneškodnovanie komunálnych odpadov.","Zber, odvoz a zneškodnovanie komunálnych odpadov pre 11 obcí v predpokladanom rozsahu od 15 000 t do 20 000 t.","Vítazným uchádzačom je skupina dodávatelov AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava a AVE CZ odpadové hospodárství s.r.o., Pražská 1321/38a, 102 00 Praha, Česká republika. Keďže do formulára možno napísať len jedného, bol všade uvedený vedúci člen skupiny, ktorým je AVE Bratislava s.r.o., Hlohová 6, 821 07 Bratislava. Uvedená celková cena ako i ceny uvedené pri jednotlivých ymluvách sú ceny za rok vypočítané z jednotkových cien predložených vo víťaznej ponuke a z množstva vyprodukovaného odpadu za predchádzajúci rok. Keďže verejný obstarávateľ nevie ovplyvniť množstvo vyprodukovaného komunálneho odpadu na svojom území a môže ho len predpokladať a toto množstvo je dané súčtom množstiev všetkých producentov ako sú občania, podniky, podnikatelia, turisti atď. ktorých počty sa menia, v rámci jednotlivých nasledujúcich rokov sa celkové ceny môžu líšiť. Výsledkom sútaže však boli jednotkové ceny, z ktorých sa celkové ceny vypočítavajú na yáklade aktuálnych množstiev. Členmi komisie boli: Ing. Karol Kvál, Ing. Jarmila Répássyová, Mgr. Viera Žilková.Celý proces verejného obstarávania sa robil prostredníctvom EVO. Oznámenie o výsledku verejného obstarávania bolo odoslané do OJEU 21.12.2010 a do UVO 22.12.2010. Publikované však bolo len vo VVO č. 245/2010 dňa 23.12.2010 pod číslom 08258-VSS. V UVEU publikované nebolo. Po zisťovaní u pracovníkov na UVO dôvodom bola chyba servera. Aby sa napravila vzniknutá chyba, je zasielané toto oznámenie mimo systém EVO, nakoľko v systéme EVO opätovné zaslanie nie je možné.",840506.46,EUR,Mesto Senec,Mierové nám. 8,Senec,903 01,SK,Branislav Jurča,http://www.senec.sk,REGIONAL_AUTHORITY,3,"Zmluva o zbere, odvoze a zneškodnovaní komunálnych odpadov - Obec Most pri Bratislave.",,1,03,11,2010,"AVE Bratislava, s.r.o.",Hlohova 6,Bratislava,821 07,SK,,,,,http://ted.europa.eu/udl?uri=TED:NOTICE:019373-2011:TEXT:SK:HTML
